AREA_DEL_HECHO,LUGAR,DIA,HORA_INFRACCION,ARMA,EDAD,SEXO,ANTECEDENTES,DISTRITO,PRESUNTA_MOTIVACION
URBANO,VIA PUBLICA,SABADO,H09,ARMA DE FUEGO,27,HOMBRE,SI,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,31,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H21,ARMA DE FUEGO,20,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H08,ARMA DE FUEGO,18,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H04,ARMA BLANCA,28,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H09,ARMA DE FUEGO,46,HOMBRE,SI,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,22,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,LUNES,H00,ARMA DE FUEGO,52,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA INTRAFAMILIAR
URBANO,VIA PUBLICA,JUEVES,H11,ARMA DE FUEGO,38,HOMBRE,SI,MODELO,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H21,ARMA DE FUEGO,19,HOMBRE,NO,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H10,ARMA DE FUEGO,28,HOMBRE,NO,NUEVA PROSPERINA,DELINCUENCIA COMUN
